Unidade,Curso,Vagas,LB_PPI,LB_Q,LB_PCD,LB_EP,LI_PPI,LI_Q,LI_PCD,LI_EP,AC,Inscritos,Inscr./Vagas,Homolog.,Homolog./Vagas,Timestamp,Modalidade
Arcos,Técnico Integrado em Administração (INT),45,10,3,4,32,18,3,5,54,117,118.0,2.62,63.0,1.4,2025-09-12 07:13:23.927743,INT
Arcos,Técnico Integrado em Mecânica (INT),45,10,1,0,21,17,1,0,43,78,78.0,1.73,42.0,0.93,2025-09-12 07:13:23.927743,INT
Bambuí,Técnico Integrado em Administração (INT),40,6,0,0,11,8,0,1,25,41,44.0,1.1,32.0,0.8,2025-09-12 07:13:23.927743,INT
Bambuí,Técnico Integrado em Agroindústria (INT),30,1,1,1,3,3,1,1,5,9,9.0,0.3,5.0,0.17,2025-09-12 07:13:23.927743,INT
Bambuí,Técnico Integrado em Agropecuária (INT),90,9,0,2,31,22,0,4,92,155,157.0,1.74,107.0,1.19,2025-09-12 07:13:23.927743,INT
Bambuí,Técnico Integrado em Biotecnologia (INT),30,4,0,0,9,7,0,2,15,37,37.0,1.23,30.0,1.0,2025-09-12 07:13:23.927743,INT
Bambuí,Técnico Integrado em Eletromecânica (INT),32,3,0,0,4,5,0,0,9,14,14.0,0.44,8.0,0.25,2025-09-12 07:13:23.927743,INT
Bambuí,Técnico Integrado em Informática (INT),35,3,0,0,5,4,1,2,18,35,36.0,1.03,22.0,0.63,2025-09-12 07:13:23.927743,INT
Betim,Técnico Integrado em Automação Industrial (INT),66,93,2,8,165,209,6,22,453,857,871.0,13.2,471.0,7.14,2025-09-12 07:13:23.927743,INT
Betim,Técnico Integrado em Mecânica (INT),66,79,2,6,133,166,3,11,323,559,564.0,8.55,270.0,4.09,2025-09-12 07:13:23.927743,INT
Betim,Técnico Integrado em Química (INT),66,90,3,2,173,233,3,6,459,912,933.0,14.14,488.0,7.39,2025-09-12 07:13:23.927743,INT
Congonhas,Técnico Integrado em Edificações (INT),70,27,2,0,45,65,2,2,125,222,233.0,3.33,129.0,1.84,2025-09-12 07:13:23.927743,INT
Congonhas,Técnico Integrado em Mecânica (INT),35,22,4,2,34,46,5,2,97,140,143.0,4.09,73.0,2.09,2025-09-12 07:13:23.927743,INT
Congonhas,Técnico Integrado em Mineração (INT),35,24,2,3,42,58,3,6,112,162,166.0,4.74,88.0,2.51,2025-09-12 07:13:23.927743,INT
Formiga,Técnico Integrado em Administração (INT),40,1,0,0,12,8,0,1,41,67,67.0,1.68,35.0,0.88,2025-09-12 07:13:23.927743,INT
Formiga,Técnico Integrado em Eletrotécnica (INT),35,1,0,0,1,2,0,0,12,20,21.0,0.6,10.0,0.29,2025-09-12 07:13:23.927743,INT
Formiga,Técnico Integrado em Informática (INT),40,4,0,0,20,14,0,0,50,86,87.0,2.17,43.0,1.07,2025-09-12 07:13:23.927743,INT
Governador Valadares,Técnico Integrado em Edificações (INT),40,22,0,2,28,56,1,2,98,183,189.0,4.72,112.0,2.8,2025-09-12 07:13:23.927743,INT
Governador Valadares,Técnico Integrado em Meio Ambiente (INT),40,14,0,3,34,49,0,7,101,212,220.0,5.5,138.0,3.45,2025-09-12 07:13:23.927743,INT
Governador Valadares,Técnico Integrado em Segurança do Trabalho (INT),40,27,0,2,47,70,0,3,126,256,260.0,6.5,144.0,3.6,2025-09-12 07:13:23.927743,INT
Ibirité,Técnico Integrado em Automação Industrial (INT),40,16,0,0,29,35,0,0,77,167,170.0,4.25,90.0,2.25,2025-09-12 07:13:23.927743,INT
Ibirité,Técnico Integrado em Informática (INT),40,49,2,3,107,99,3,6,218,458,465.0,11.63,226.0,5.65,2025-09-12 07:13:23.927743,INT
Ibirité,Técnico Integrado em Mecatrônica (INT),40,28,5,5,47,61,5,9,125,229,233.0,5.83,125.0,3.13,2025-09-12 07:13:23.927743,INT
Ibirité,Técnico Integrado em Sistemas de Energia Renovável (INT),40,17,0,1,26,28,0,1,48,134,136.0,3.4,82.0,2.05,2025-09-12 07:13:23.927743,INT
Ipatinga,Técnico Integrado em Automação Industrial (INT),40,55,3,6,93,131,4,15,297,435,440.0,11.0,212.0,5.3,2025-09-12 07:13:23.927743,INT
Ipatinga,Técnico Integrado em Eletrotécnica (INT),40,27,3,2,42,73,3,6,142,233,240.0,6.0,105.0,2.63,2025-09-12 07:13:23.927743,INT
Itabirito,Técnico Integrado em Automação Industrial (INT),70,27,0,3,43,76,2,10,155,223,239.0,3.41,113.0,1.61,2025-09-12 07:13:23.927743,INT
Conselheiro Lafaiete,Técnico Integrado em Eletrotécnica (INT),40,24,2,3,43,76,2,5,170,238,260.0,6.5,151.0,3.77,2025-09-12 07:13:23.927743,INT
Conselheiro Lafaiete,Técnico Integrado em Mecânica (INT),40,27,3,2,43,56,4,3,122,166,179.0,4.47,104.0,2.6,2025-09-12 07:13:23.927743,INT
Ouro Branco,Técnico Integrado em Administração (INT),35,19,1,0,38,54,1,4,150,255,276.0,7.89,173.0,4.94,2025-09-12 07:13:23.927743,INT
Ouro Branco,Técnico Integrado em Informática (INT),35,9,0,2,28,50,1,9,136,255,273.0,7.8,178.0,5.09,2025-09-12 07:13:23.927743,INT
Ouro Branco,Técnico Integrado em Metalurgia (INT),35,12,0,1,21,27,0,2,55,86,93.0,2.66,53.0,1.51,2025-09-12 07:13:23.927743,INT
Ouro Preto,Técnico Integrado em Administração (INT),60,49,5,3,67,95,7,4,170,282,308.0,5.13,174.0,2.9,2025-09-12 07:13:23.927743,INT
Ouro Preto,Técnico Integrado em Automação Industrial (INT),80,24,1,0,40,78,2,1,143,254,276.0,3.45,196.0,2.45,2025-09-12 07:13:23.927743,INT
Ouro Preto,Técnico Integrado em Edificações (INT),90,13,1,0,20,55,1,0,102,175,189.0,2.1,116.0,1.29,2025-09-12 07:13:23.927743,INT
Ouro Preto,Técnico Integrado em Metalurgia (INT),90,16,2,2,20,35,2,2,51,71,71.0,0.79,35.0,0.39,2025-09-12 07:13:23.927743,INT
Ouro Preto,Técnico Integrado em Mineração (INT),90,32,4,4,41,85,4,5,134,194,202.0,2.24,99.0,1.1,2025-09-12 07:13:23.927743,INT
Piumhi,Técnico Integrado em Edificações (INT),80,9,2,1,21,21,2,2,65,106,108.0,1.35,75.0,0.94,2025-09-12 07:13:23.927743,INT
Ponte Nova,Técnico Integrado em Administração (INT),40,69,4,4,99,111,7,6,206,281,316.0,7.9,148.0,3.7,2025-09-12 07:13:23.927743,INT
Ponte Nova,Técnico Integrado em Informática (INT),75,57,5,1,86,127,7,6,245,357,405.0,5.4,204.0,2.72,2025-09-12 07:13:23.927743,INT
Ribeirão das Neves,Técnico Integrado em Administração (INT),70,80,1,2,142,165,2,5,311,556,571.0,8.16,282.0,4.03,2025-09-12 07:13:23.927743,INT
Ribeirão das Neves,Técnico Integrado em Eletroeletrônica (INT),35,27,3,3,38,54,4,4,85,150,156.0,4.46,71.0,2.03,2025-09-12 07:13:23.927743,INT
